,Date,Type,B_Zero,B_Low,B_Medium,B_High
124,2022-10-18,Multi-Unit,3.0,15.0,12.0,23.0
125,2022-10-18,Single-Family,23.0,68.0,67.0,78.0
126,2022-11-17,Commercial,2.0,5.0,5.0,9.0
127,2022-11-17,Duplex,13.0,40.0,39.0,61.0
128,2022-11-17,Empty Lot,19.0,31.0,8.0,56.0
129,2022-11-17,Mixed-Use,0.0,3.0,3.0,8.0
130,2022-11-17,Multi-Unit,3.0,15.0,12.0,23.0
131,2022-11-17,Single-Family,25.0,72.0,68.0,74.0
132,2022-12-26,Commercial,2.0,7.0,4.0,10.0
133,2022-12-26,Duplex,16.0,38.0,39.0,59.0
134,2022-12-26,Empty Lot,20.0,33.0,9.0,54.0
135,2022-12-26,Mixed-Use,0.0,4.0,2.0,9.0
136,2022-12-26,Multi-Unit,2.0,15.0,13.0,23.0
137,2022-12-26,Single-Family,23.0,69.0,73.0,74.0
138,2023-03-28,Commercial,2.0,7.0,7.0,6.0
139,2023-03-28,Duplex,13.0,46.0,35.0,42.0
140,2023-03-28,Empty Lot,20.0,30.0,7.0,51.0
141,2023-03-28,Mixed-Use,0.0,4.0,2.0,8.0
142,2023-03-28,Multi-Unit,3.0,17.0,15.0,18.0
143,2023-03-28,Single-Family,20.0,77.0,59.0,59.0
144,2023-04-22,Commercial,2.0,7.0,5.0,8.0
145,2023-04-22,Duplex,12.0,49.0,34.0,41.0
146,2023-04-22,Empty Lot,18.0,32.0,6.0,51.0
147,2023-04-22,Mixed-Use,0.0,4.0,1.0,9.0
148,2023-04-22,Multi-Unit,3.0,16.0,15.0,18.0
149,2023-04-22,Single-Family,18.0,76.0,58.0,61.0
150,2023-05-02,Commercial,1.0,3.0,3.0,16.0
151,2023-05-02,Duplex,2.0,35.0,46.0,64.0
152,2023-05-02,Empty Lot,6.0,42.0,7.0,60.0
153,2023-05-02,Mixed-Use,0.0,1.0,3.0,10.0
154,2023-05-02,Multi-Unit,2.0,11.0,18.0,21.0
155,2023-05-02,Single-Family,4.0,72.0,73.0,86.0
156,2023-11-01,Commercial,2.0,4.0,6.0,7.0
157,2023-11-01,Duplex,8.0,42.0,38.0,43.0
158,2023-11-01,Empty Lot,8.0,39.0,9.0,53.0
159,2023-11-01,Mixed-Use,0.0,3.0,1.0,10.0
160,2023-11-01,Multi-Unit,3.0,14.0,12.0,24.0
161,2023-11-01,Single-Family,22.0,75.0,62.0,74.0
