,Date,Type,B_Zero,B_Low,B_Medium,B_High
410,2021-12-22,Residential,152.0,240.0,164.0,198.0
411,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
412,2021-12-22,Residential,152.0,240.0,164.0,198.0
413,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
414,2022-01-23,Commercial,2.0,8.0,6.0,10.0
415,2022-01-23,Duplex,28.0,87.0,54.0,89.0
416,2022-01-23,Empty Lot,9.0,71.0,14.0,4.0
417,2022-01-23,Mixed-Use,2.0,4.0,3.0,6.0
418,2022-01-23,Multi-Unit,4.0,24.0,29.0,44.0
419,2022-01-23,Single-Family,61.0,129.0,88.0,92.0
420,2022-01-23,Residential,93.0,240.0,171.0,225.0
421,2022-01-23,Mixed-Use/Other,2.0,4.0,3.0,6.0
422,2022-01-23,Residential,93.0,240.0,171.0,225.0
423,2022-01-23,Mixed-Use/Other,2.0,4.0,3.0,6.0
424,2022-01-23,Residential,93.0,240.0,171.0,225.0
425,2022-01-23,Mixed-Use/Other,2.0,4.0,3.0,6.0
426,2022-01-23,Residential,93.0,240.0,171.0,225.0
427,2022-01-23,Mixed-Use/Other,2.0,4.0,3.0,6.0
428,2022-01-23,Residential,93.0,240.0,171.0,225.0
429,2022-01-23,Mixed-Use/Other,2.0,4.0,3.0,6.0
430,2022-01-23,Residential,93.0,240.0,171.0,225.0
431,2022-01-23,Mixed-Use/Other,2.0,4.0,3.0,6.0
432,2022-02-21,Commercial,5.0,9.0,5.0,8.0
433,2022-02-21,Duplex,43.0,81.0,50.0,88.0
434,2022-02-21,Empty Lot,14.0,59.0,12.0,4.0
435,2022-02-21,Mixed-Use,0.0,5.0,2.0,6.0
436,2022-02-21,Multi-Unit,11.0,20.0,29.0,41.0
437,2022-02-21,Single-Family,62.0,117.0,83.0,90.0
438,2022-02-21,Residential,116.0,218.0,162.0,219.0
439,2022-02-21,Mixed-Use/Other,0.0,5.0,2.0,6.0
